ParticipantId	SampleCode	contdag	gesl2	LFTB	pershuis	Lftpershuis1	Lftpershuis2	Lftpershuis3	Lftpershuis4	Lftpershuis5	Lftpershuis6	Lftpershuis7	Lftpershuis8	Lftpershuis9	Lftpershuis10	contpers0tot9	contpers10tot19	contpers20tot29	contpers30tot39	contpers40tot49	contpers50tot59	contpers60tot69	contpers70tot79	contpers80tot89	contpers90plus	contpers0tot4	contpers5tot9	pershuisv2
6341	13602113	2	2	34	5	2	8	11	33	34						1	1		5			1				1		5
6346	13602016	4	2	36	4	9	11	36	37							12	4	15	10	10	5	5		1		2	10	4
6347	13602096	2	1	36	3	1	33	36									24	5	5		3							3
6350	13602020	2	1	37	5	3	8	10	33	37						3	1	2	3	3						1	2	5
6353	13602085	7	2	37	6	7	11	16	16	37	42						3			4	1		1					6
6354	13602078	7	2	37	5	12	15	17	37	48																		5
6356	13602112	1	1	38	5	1	8	11	32	38							4	4	6	5	3							5
6358		3	2	38	7	1	4	7	8	10	34								1	2	1							7
6361	13601986	2	2	39	6	10	13	16	18	43							1	1		1		2						6
6362		1	2	40	2	42										1		3	3	1	3	2				1		2
6363	13602103	2	1	40	5	12	15	16	40	41									1	1	1	1						5
6364		2	1	41	6	15	16	18	18	41							2	2	3	2	3	2						6
6365	13602088	6	2	41	7	6	13	14	17	18	41	43				1				2						1		7
6371	13601993	6	1	42	5	8	14	17	42	43						2		1	1		1					1	1	5
6375	13602110	3	2	43	5	4	20	22	50							2	1	4		2	1		1			2		5
6376		1	1	43	5	9	10	11	45							2	2	3	3	4						1	1	5
6377	13602031	2	2	44	7	3	8	12	14	15	48						2			18								7
6378	13602114	4	2	44	5	11	16	18	46							10		1	10							10		5
6383	13602115	1	1	45	7	3	10	17	20	22	43					5	5	10	10	5	2	2	2			1	4	7
6390	13602125	2	2	48	4	18	25	47	50										1	1	2							4
6391	13602116	7	2	48	7	16	18	20	22	26	51							2	2	4		1	1					7
6395	13602030	2	1	49	6	13	13	16	18	43	48						80	5	5	5		2						6
6399	13602126	1	2	49	2														1					2				2
6405		3	2	50		13	16	21	27	53						1		2		1			1	1		1		5
6408	13602008	4	2	51	2	51	54									2		1			3	5	8	4		2		2
6412	13602039	4	1	52		19	22	27	50							2		30	10	10	5						2	4
6418	13602013	3	2	54	3	27	54	56										2			2							3
6419	13602025	5	1	54	2	51												10	10	5	2							2
6425	13602092	4	1	55	2	54											2	4	2	2	4							2
6426	13602134	2	1	56	3	18											5	10	10	5	3							3
6427		3	2	56	6	16	18	21	33	55	59					6	2	2	3				4			4	2	6
6428	13602140	2	1	56	4	21	26	52	56													1						4
6429	13602035	6	1	56	4	23	27	51												3	1							4
6431	13602090	7	2	57	5	18	20	30	54	57						2		4								2		5
6432	13602091	1	2	57	2	48																	10					2
6433	13602119	1	1	57	2	57	60										2	1	6		1	2	1					2
6436	13602064	2	2	57	3	25	57	60									3		2	2	2							3
6440	13602007	6	2	58	2	58															2	3	1	1	1			2
6441	13602135	1	1	59	3	25	59									1	2	2	2	2	3	2			1	1	1	3
6442		7	2	60	2	62										3			2			1				1	2	2
6443	13601985	3	2	60	2	60										10	8	9	2	4	3	1	1			2	8	2
6445	13602006	4	2	60	2	63																2						2
6448	13602128	1	2	61	2	61	63										1		1			1						2
6450	13602005	1	2	61	3	22	62	68								4				1							4	3
6453	13602032		1	62	4	23	25																					4
6454	13602087	1	2	62	5	26	31	33	64																			5
6459	13602015		1	63	2	45																						2
6461	13602014	1	1	64	2	60										2	1	2	6	2		2				1	1	2
6470	13602012	2	1	67	2	67	77											3				1	4		1			2
6475	13602011	2	1	68	2	66										2			2							2		2
6476	13602002		1	68	2	64	68																					2
6488	13602010	4	1	71	2	72											2	2	4	2	2	4	3	2				2
6490	13601997		2	72	2																							2
6494	13602000	1	2	72	1																							1
6500	13601998	2	1	74	2	72	74										2		1		3							2
6503	13601988	1	2	75	2	45												2	1	2	2		1					2
6504	13601996	2	1	75	2	73																		1				2
6506	13601994	7	1	75	2	73	75													1			3					2
6507	13601995	6	2	75	1														5	2			3					1
6520			2	79	3	39	79	79																				3
6539	13602213		2	-0	3	0																						3
6543			1	0	6	5	9	10	33	34																		6
6544	13602217		1	0	3	0	22	24																				3
6545			1	0	4	0	2	26	26																			4
6547		7	1	0	3	21	23										1											3
6548	13602154		1	0	4	0	2	27	29																			4
6550			2	0	5	7	10	35	37																			5
6556	13602258	5	1	0	4	3	33	36									1		1									4
6557	13602156	7	2	0	3	27	31														1	2						3
6559		2	2	0	3	33	34									5		3								5		3
6560	13602222		1	0	3	28	37																					3
6562		2	1	1	4	0	2	25	27							8		3	1		1					2	6	4
6567	13602147	7	2	1	4	0	1	34	44							8	2	4	6	4	3	1				6	2	4
6569	13602221	2	1	2	7	2	5	8	11	13	40	43				6	1	4	1		1			1		2	4	7
6572	13602214	1	2	2	6	6	10	12	37	37						6			3									6
6573	13602148	2	2	2	6	3	6	9	11							3			2								3	6
6574	13602211	2	2	2	4	2	4									1												4
6576	13602152	2	1	2	5	4	6	35	38									1			2							5
6577		1	1	2	5	2	7	11	34	36						1	2	3	2								1	5
6578		5	2	2	3	35	44														2		2					3
6579		6	2	2	4	4	37	46								7	2	1	2	2			1			6	1	4
6580		6	1	2	4	6	37	38								1			3	1		2						4
6589	13602228	5	2	3	4	1	3	28	29							6	2	4			2			1		6		4
6592	13602223	1	1	3	7	4	7	10	13	14	37	40																7
6593	13602161	1	2	3	4	3	7	28	32							1							1			1		4
6601	13602164	1	1	4	3	6	28	31								3	5	5	2	6		4				2	1	3
6602	13602231	6	1	5	4	5	7	35	42								6	2	2	1	1	1						4
6609	13602176		1	6	5	0	3	63	80	99																		5
6610		4	1	7	4	3	7	28	32																			4
6611	13602230	6	1	7	4	5	7	35	42							2	6	2	2	1	1	1					2	4
6612		2	1	7	5	0	10	35	37							1	2		2			4				1		5
6613	13602233	1	1	7	4	4	7	38	43							10			2	2		2				1	9	4
6614	13602220	2	1	8	7	2	5	8	11	13	40	43				32		1	1			1	1			2	30	7
6615	13602276	2	2	8	5	8	11	13								10					1						10	5
6616	13602229	7	1	8	3	2	70									2	1		2	3	4	1		2			2	3
6617	13602225	7	1	8	5	6	10	39	41																			5
6618	13602174	5	1	8	4	10	34	36								36	6	6	4	3	3					1	35	4
6622	13602219	2	1	10	5	10	13	17	40	41						10	14			5							10	5
6623	13602224	7	1	10	5	6	8	39	41																			5
6624	13602188	1	2	10	4	5	42	44								1	25			10							1	4
6625	13602215	1	2	10	9	3	11	15	16	17	18	38	41			1	5	3	4			3				1		9
6627	13602210	7	1	11	4	8	38	44																				4
6628	13602204	6	1	11	4	61	61	90								1	1		4	1	2	2	2				1	4
6632	13602226	3	1	11	6	7	11	15	17							4												6
6633	13602275	2	1	11	5	8	11	13									10			6								5
6634	13602206	6	2	12	4	25	42	42									5			2			1					4
6635	13602273	2	1	12	2	51											15			5								2
6639	13602171	7	2	14	5	59	63	85	89	92							16	5		4								5
6641	13602168	7	2	14	5	6	8	14																				5
6642	13602170	1	2	15	4	8	46	51								1	2		1	2	1						1	4
6643	13602239	7	2	15	6	6	10	12	15	38	43						4						8					6
6646	13602405	2	1	15	5	6	15	19	22	57	59					1	1	1		2							1	5
6650	13602180	7	2	16	5	59	63	85	89	92							1											5
6651	13602262	7	1	17	6	6	9	17	18	38	43						10											6
6654		4	1	18	5	15	19	43	44								5		2		2		2					5
6655		1	1	18	3	54	54										4	5										3
6656		2	2	18	3	50	54										1	1	1		2							3
6662	13602246	3	2	20	3	48	51									1	2	4		2	1						1	3
6663	13602257	5	1	20	6	12	15	22	51	57							10	10	8	8	6	4	1		1			6
6666	13602181	7	2	20	5	15	19	20	48	54							2			1	1							5
6671		5	1	21	3	55	57											5	4									3
6675	13602269		2	21	6	2	9	18	21	39	44																	6
6676	13602253	2	2	21	3	52	54										1	3	1			1						3
6679		1	2	21	2	21												1			1			1				2
6680	13602198	7	2	21	5	15	21	27	53	59						2	1	5			4					1	1	5
6687	13602404	6	2	22	2	22	24									3	4	3	2		1	1				1	2	2
6688	13602208	2	1	22	4	20	46	48									1	5	3	3								4
6689		7	2	22	4	17	22	52	54								2		2									4
6692	13602264	5	2	22	3	59	69									1		2	1	5	2		1			1		3
6695	13602187	7	2	23	1												1											1
6696	13602261	5	2	23	1													5	4	1	3							1
6701	13602212	1	2	24	3	0										1		4								1		3
6707	13602250	2	1	25	3	0	24										1	4	2	2								3
6708	13602190	7	2	25	3	15	25	36																				3
6712	13602252	6	2	26	4	0	2	26	26									1		1	5	1						4
